technique_id,technique_name,mitigation_id,mitigation_name,mitigation_description,control_ids,control_names,reasonings,course_of_action
T1074,Insider Threat,M1021,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","['39', '40']","['Web filtering', 'Email filtering']","['Web filtering can monitor and manage the locations where users are browsing on the Internet, enabling an organization to either allow or block web traffic in order to protect against potential threats and enforce corporate policy.', ""Email filtering can filter outbound and inbound email to detect and block SPAM, phishing, executable content, malicious scripts or software, which aligns with the mitigation's goal of restricting web-based content.""]",course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96
T1074,Insider Threat,M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","['11', '13', '56']","['Endpoint anti-malware', 'Endpoint Intrusion Detection', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM)']","['Endpoint anti-malware helps in preventing malicious behavior on endpoints.', 'Endpoint Intrusion Detection helps in detecting and preventing suspicious activities on endpoints.', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM) helps in detecting unauthorized changes to files, which can indicate suspicious behavior.']",course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46
T1003,Credential Dumping,M1027,Password Policies,Set and enforce secure password policies for accounts.,"['15', '14', '52']","['Password Policy', 'Secure Authentication', 'Secret Management']","['Password Policy directly aligns with setting and enforcing secure password policies.', 'Secure Authentication ensures that authentication mechanisms, including passwords, are protected.', 'Secret Management ensures that passwords and other authentication credentials are securely managed.']",course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485
T1003,Credential Dumping,M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","['11', '13', '56']","['Endpoint anti-malware', 'Endpoint Intrusion Detection', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM)']","['Endpoint anti-malware helps in preventing malicious behavior on endpoints.', 'Endpoint Intrusion Detection helps in detecting and preventing suspicious activities on endpoints.', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM) helps in detecting unauthorized changes to files, which can indicate suspicious behavior.']",course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46
T1003,Credential Dumping,M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","['16', '18', '19', '21', '58']","['Least Privilege and Role Based Access Control', 'Account Management', 'Privileged Access Management', 'Multi-Factor Authentication for Privileged access', 'Just in Time Access']","['Accounts are assigned only the permissions required to perform the role.', 'Approvals, onboarding, offboarding and Periodic validation of user access is managed.', 'Manage and control of elevated privileges and access for users, applications, and machines.', 'Access is limited to IAG devices (not based on IP address), and an MFA prompt is required every time an administrator logs on.', 'Access is provided only when the user or system requires it. Access is approved at the time if/when appropriate justification is provided. Access is time limited to the change window. Reapproval is required at least every 24 hours.']",course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f
T1485,Data Destruction,M1053,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,"['26', '27']","['System Backup and Recovery', 'Disaster Recovery Plan']","['System Backup and Recovery ensures that systems and data are backed up and recovery processes are in place, aligning with the data backup mitigation.', 'Disaster Recovery Plan supports the Recovery Point Objective (RPO) and Recovery Time Objective (RTO) requirements, ensuring that backups are effective and can be restored in case of a disaster.']",course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b
T1485,Data Destruction,M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","['16', '18', '19', '21', '58']","['Least Privilege and Role Based Access Control', 'Account Management', 'Privileged Access Management', 'Multi-Factor Authentication for Privileged access', 'Just in Time Access']","['Accounts are assigned only the permissions required to perform the role.', 'Approvals, onboarding, offboarding and Periodic validation of user access is managed.', 'Manage and control of elevated privileges and access for users, applications, and machines.', 'Access is limited to IAG devices (not based on IP address), and an MFA prompt is required every time an administrator logs on.', 'Access is provided only when the user or system requires it. Access is approved at the time if/when appropriate justification is provided. Access is time limited to the change window. Reapproval is required at least every 24 hours.']",course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f
T1485,Data Destruction,M1049,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,"['11', '46']","['Endpoint anti-malware', 'Device Isolation and Compliance Checks']","['End user devices and/or servers are protected with advanced machine learning based endpoint detection and response tools.', 'Detects device compliance against corporate standards, for example; OS and application patching, Active and up to date anti-malware, Active host based firewall, Active host based IDS/IPS, Geo Location (IP) based rules. And does not allow LAN access unless compliance checks pass.']",course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9
T1098,Misuse of Admin Privileges,M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","['16', '18', '19', '21', '58']","['Least Privilege and Role Based Access Control', 'Account Management', 'Privileged Access Management', 'Multi-Factor Authentication for Privileged access', 'Just in Time Access']","['Accounts are assigned only the permissions required to perform the role.', 'Approvals, onboarding, offboarding and Periodic validation of user access is managed.', 'Manage and control of elevated privileges and access for users, applications, and machines.', 'Access is limited to IAG devices (not based on IP address), and an MFA prompt is required every time an administrator logs on.', 'Access is provided only when the user or system requires it. Access is approved at the time if/when appropriate justification is provided. Access is time limited to the change window. Reapproval is required at least every 24 hours.']",course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f
T1098,Misuse of Admin Privileges,M1058,,,[],[],[],
T1098,Misuse of Admin Privileges,M1047,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","['9', '32']","['Vulnerability Scanning', 'Penetration Testing']","[{'9': 'Vulnerability Scanning involves scanning systems to identify vulnerabilities and missing security patches, which aligns with the audit process to identify potential weaknesses.'}, {'32': 'Penetration Testing is a specialized assessment to identify vulnerabilities that could be exploited, which is a form of audit to identify potential weaknesses.'}]",course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8
T1570,Misconfiguration,M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","['11', '13', '56']","['Endpoint anti-malware', 'Endpoint Intrusion Detection', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM)']","['Endpoint anti-malware helps in preventing malicious behavior on endpoints.', 'Endpoint Intrusion Detection helps in detecting and preventing suspicious activities on endpoints.', 'File Integrity Monitoring (FIM) / File Access Monitoring (FAM) helps in detecting unauthorized changes to files, which can indicate suspicious behavior.']",course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46
T1570,Misconfiguration,M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,"['2', '47']","['Application Hardening', 'Device or Application Restrictions']","['Application Hardening ensures that applications are configured securely, reducing the risk of loading untrusted code.', 'Device or Application Restrictions allow administrators to set policies around what features of a device or app are enabled or disabled, preventing the loading of untrusted libraries.']",course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff
T1570,Misconfiguration,M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,"['11', '13']","['Endpoint anti-malware', 'Endpoint Intrusion Detection']","[{'11': 'Endpoint anti-malware tools use advanced machine learning to detect and block malware, which can prevent software exploits.'}, {'13': 'Endpoint Intrusion Detection Systems (IDS/IPS) monitor and protect against suspicious activities that may indicate an exploit attempt.'}]",course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3
T1078,Insufficient Logging and Monitoring,M1049,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,"['11', '46']","['Endpoint anti-malware', 'Device Isolation and Compliance Checks']","['End user devices and/or servers are protected with advanced machine learning based endpoint detection and response tools.', 'Detects device compliance against corporate standards, for example; OS and application patching, Active and up to date anti-malware, Active host based firewall, Active host based IDS/IPS, Geo Location (IP) based rules. And does not allow LAN access unless compliance checks pass.']",course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9
T1078,Insufficient Logging and Monitoring,M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,"['11', '13']","['Endpoint anti-malware', 'Endpoint Intrusion Detection']","[{'11': 'Endpoint anti-malware tools use advanced machine learning to detect and block malware, which can prevent software exploits.'}, {'13': 'Endpoint Intrusion Detection Systems (IDS/IPS) monitor and protect against suspicious activities that may indicate an exploit attempt.'}]",course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3
T1078,Insufficient Logging and Monitoring,M1049,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,"['11', '46']","['Endpoint anti-malware', 'Device Isolation and Compliance Checks']","['End user devices and/or servers are protected with advanced machine learning based endpoint detection and response tools.', 'Detects device compliance against corporate standards, for example; OS and application patching, Active and up to date anti-malware, Active host based firewall, Active host based IDS/IPS, Geo Location (IP) based rules. And does not allow LAN access unless compliance checks pass.']",course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9
T1059,Insecure API Usage,M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,"['11', '13']","['Endpoint anti-malware', 'Endpoint Intrusion Detection']","[{'11': 'Endpoint anti-malware tools use advanced machine learning to detect and block malware, which can prevent software exploits.'}, {'13': 'Endpoint Intrusion Detection Systems (IDS/IPS) monitor and protect against suspicious activities that may indicate an exploit attempt.'}]",course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3
T1059,Insecure API Usage,M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,"['2', '47']","['Application Hardening', 'Device or Application Restrictions']","['Application Hardening ensures that applications are configured securely, reducing the risk of loading untrusted code.', 'Device or Application Restrictions allow administrators to set policies around what features of a device or app are enabled or disabled, preventing the loading of untrusted libraries.']",course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff
T1059,Insecure API Usage,M1030,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.","['29', '30']","['Network Segmentation', 'Management network/zone']","[""Network Segmentation involves filtering network traffic and isolating critical systems, which aligns with the mitigation's goal."", 'Management network/zone ensures that access to management interfaces is limited, supporting the isolation of critical systems.']",course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c
